course_title,slug,course_kind,track,delivery_mode,short_summary,full_description,duration_value,duration_unit,schedule_notes,sessions_per_week,session_hours,total_hours,cohort_required,cohort_name,start_date,end_date,seats_total,price_total,currency,payment_options,deposit_required,application_fee,refund_policy,internship_included,internship_details,what_you_learn,curriculum_outline,assessment_notes,category_tags,hero_media_url,gallery_media_urls,is_published,notes_for_admin
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Foundation Program,"Korean Basic Skincare Program 





",program,professional,hybrid(2weeks online Theory + 6 Weeks Theory and Practical Training) ,"Build real industry experience, practical training, daily clinic ops.","8-week program, combines theory, practical training, assessments, reviews...",8,weeks,"Twice a week, 10 am - 4 pm, 1 hr break",2,6,96,TRUE,Fall 2026 Cohort,2026-09-01,2026-10-31,15,3500,AUD,"Upfront, Installments (4 parts)",TRUE,300,"100% before 6 weeks, 70% before 4 weeks",TRUE,"12-week contract, 6-hr shifts, 2 times a week","Client Services, Soft Skills, Therapist Roles, Skin type and condition
Cosmetics, Skin Structure and Functions, Myology of Body
Full Body Massage,
Cleansing,  Facial Massage, Cleansing, Deep Cleansing
Decolletage Massage,  Scalp Massage, Application of a Modeling Mask
Basic Extraction, Korean Hydrafacial Treatment





","

week 1: Intro, Therapist Roles, Client Services, Soft skills, Skin type and condition
week 2: Cosmetics, Skin structure and Functions, Myology
week 3: Full Body Massge 
week 4: Facial Massage, Cleansing, Deep Cleansing
week 5: Decolletage Massage, Scalp Massage, Modeling mask
week 6 : Basic Extraction, Korean Hydrafacial Treatment
week 7:  Hands-On Practice with Classmate
week 8: Theory & Practical Test / Hands-On Practice with Real Clients





",Exams and 90% attendance required,"Beginner, Foundation, Full Body, Facial",,,FALSE,Needs review before publish
Deep Cleansing Workshop,deep-cleansing,single_course,casual,in_person,Learn professional deep cleansing techniques.,A 5-hour comprehensive hands-on workshop to master Face deep cleansing.,5,hours,One-Day Masterclass,1,5,5,FALSE,,,,,800,AUD,Upfront,FALSE,0,"100% before 7 days, 50% before 1 day ",FALSE,,Cosmetic Product Types and Application Methods,Theory and Hand-on Practice,No formal assessment,"Facial, Fundamentals",,,FALSE,Stand-alone module for anyone
Decollete Massage,Decollte Massage Technique & Flow,single_course,casual,in_person,Learn professional Decollte Massage techniques,A 5-hour comprehensive hands-on workshop to master Decollte Massage ,5,hours,One-Day Masterclass,1,5,5,,,,,,800,AUD,Upfront,,0,"100% before 7 days, 50% before 1 day ",FALSE,,Décolleté Massage Techniques and Types of Muscles,Theory and Hand-on Practice,No formal assessment,"Facial, Fundamentals",,,,Stand-alone module for anyone
Face Massage ,Face Massage Technique & Flow,single_course,casual,in_person,Learn professional Face Massage techniques ,A 5-hour comprehensive hands-on workshop to master Face Massage ,5,hours,One-Day Masterclass,1,5,5,,,,,,800,AUD,Upfront,,0,"100% before 7 days, 50% before 1 day ",FALSE,,Face Massage Techniques and Types of Muscles,Theory and Hand-on Practice,No formal assessment,"Facial, Fundamentals",,,,Stand-alone module for anyone
Cosmetics,Cosmetic Classification,single_course,casual,in_person,"Cosmetic Classification, Proper Usage, and Synergistic Effects with Aesthetic Devices","Gain comprehensive knowledge of cosmetic types, ingredients, 
and proper application methods.",5,hours,One-Day Masterclass,1,5,5,,,,,,600,AUD,Upfront,,0,"100% before 7 days, 50% before 1 day ",FALSE,,"Develop an understanding of cosmetic types, key ingredients, and proper application methods.",Theory and Hand-on Practice,No formal assessment,"Cosmetics, Fundamentals",,,,Stand-alone module for anyone
Needling Infusion ,Needling Infusion ,single_course,Professional,in_person,Needling Infusion Ampoule Selection by Skin Type and Facial Area,Ampoule Classification and Targeted Application for Needling Infusion,3,hours,One-Day Masterclass,1,3,3,,,,,,600,AUD,Upfront,,0,"100% before 7 days, 50% before 1 day ",FALSE,,Needling Infusion Protocols and Ampoule Selection Strategy,Theory and Hand-on Practice,No formal assessment,"Microneedling, Ampoule infusion",,,,
HIFU ,HIFU ,single_course,Professional,in_person,HIFU Protocols by Facial Area and Skin Type,"Understanding the principles of HIFU, selecting the appropriate skin type, 
choosing the correct depth, determining treatment intervals, and post-treatment care.",5,hours,One-Day Masterclass,,5,5,,,,,,1000,AUD,Upfront,,0,"100% before 7 days, 50% before 1 day ",FALSE,,HIFU Principles and Treatment Techniques for Different Skin Types and areas,Theory and Hand-on Practice,No formal assessment,,,,,
Microneedling,Scaring Treatment ,single_course,Professional,in_person,,"Understanding the difference between needling and ampoule infusion, 
learning absorption techniques based on ampoule types, 
and achieving optimal treatment results.",5,hours,One-Day Masterclass,1,5,5,,,,,,600,AUD,Upfront,,0,"100% before 7 days, 50% before 1 day ",FALSE,,"Needling and Ampoule Infusion Techniques, Absorption Methods, and Expected Effects",Theory and Hand-on Practice,No formal assessment,,,,,
Peeling,Scaring Treatment ,single_course,Professional,in_person,Chemical and Herbal Peeling Methods,"Understanding the differences between chemical and herbal peeling, 
selecting the appropriate skin type, and learning correct treatment procedures.
Post-treatment care",5,hours,One-Day Masterclass,1,5,5,,,,,,1000,AUD,Upfront,,0,"100% before 7 days, 50% before 1 day ",FALSE,,"Chemical vs Herbal Peeling: Skin Types, Indications, and Treatment Methods",Theory and Hand-on Practice,No formal assessment,,,,,
